Circuit,Location,Country,Country Name,2016 Attendance,2017 Attendance,Growth (%),lat,long,Number of Dealerships,Ratio,Income
Albert Park,Melbourne,AUS,Australia,271800,296600,9,-37.8142176,144.9631608,50,5932.0,21329.0
Bahrain International Circuit,Sakhir,BHR,Bahrain,92000,93000,1,32.953941,65.540016,1,93000.0,47606.0
Baku City Circuit,Baku,AZE,Azerbaijan,30000,71541,138,40.3754434,49.8326748,31,2308.0,3851.0
Circuit de Barcelona-Catalunya,Montmeló,ESP,Spain,165029,177984,7,41.5515189,2.2480812,50,3560.0,13822.0
Circuit of the Americas,"Austin, TX",USA,United States,269889,258000,-4,30.2711286,-97.7436995,50,5160.0,25332.0
Autodromo Enzo e Dino Ferrari,Imola,ITA,Italy,147500,185000,25,44.3535145,11.7141233,36,5139.0,15547.0
Circuit Gilles Villeneuve,"Montréal, Quebec",CAN,Canada,300000,360000,19,45.5031824,-73.5698065,50,7200.0,22042.0
Autódromo Hermanos Rodríguez,Mexico City,MEX,Mexico,339967,337043,0,19.4326296,-99.1331785,50,6741.0,4929.0
Hungaroring,Mogyoród,HUN,Hungary,176000,199000,13,47.6037418,19.24740913013881,2,99500.0,8613.0
Autódromo José Carlos Pace,São Paulo,BRA,Brazil,136410,141218,3,-23.5506507,-46.6333824,50,2824.0,7654.0
Marina Bay Street Circuit,Singapore,SIN,Singapore,219000,260000,18,1.357107,103.8194992,50,5200.0,56160.0
Circuit de Monaco,Monaco,MON,Monaco,200000,200000,0,43.73844905,7.424224092532953,37,5405.0,161000.0
Autodromo Nazionale Monza,Monza,ITA,Italy,147500,185000,25,45.639544,9.278869369225038,50,3700.0,15547.0
Red Bull Ring,"Spielberg, Styria",AUT,Austria,85000,145000,70,47.2122736,14.7857412,11,13182.0,20718.0
Silverstone Circuit,Silverstone,GBR,United Kingdom,350000,344500,-1,52.09424065,-1.022312424982963,17,20265.0,18133.0
Circuit de Spa-Francorchamps,Francorchamps,BEL,Belgium,233730,265000,13,50.4531568,5.952833,2,132500.0,17917.0
Suzuka Circuit,"Suzuka, Mie",JPN,Japan,145000,137000,-5,34.8817102,136.5836516,50,2740.0,17095.0
Yas Marina Circuit,Abu Dhabi,UAE,United Arab Emirates,195000,195000,0,24.4538352,54.3774014,39,5000.0,27017.0
